1.04386,0.334488,-0.89084,
0.683593,-1.00526,0.716622,
1.20184,-1.24885,-0.413209,
1.23049,-0.883699,-0.901192,
1.38642,-0.645086,-1.10642,
1.44914,-0.294683,-1.20329,
1.42315,-0.174939,-1.17039,
1.40351,-0.0544128,-1.19688,
1.43175,0.0335159,-1.23618,
1.50798,0.0854319,-1.25049,
1.57603,0.134661,-1.25995,
1.61499,0.181867,-1.26358,
1.65135,0.207041,-1.28872,
1.67828,0.216985,-1.32531,
1.70686,0.233544,-1.35136,
1.78322,0.25746,-1.36281,
1.86455,0.280848,-1.40436,
1.91863,0.285615,-1.41211,
1.95883,0.294215,-1.42076,
2.00865,0.295783,-1.40075,
2.05562,0.323674,-1.40315,
2.04668,0.399697,-1.36571,
1.96852,0.520476,-1.27211,
1.61956,0.606873,-1.03745,
1.02378,0.67855,-0.648337,
0.699914,0.640359,-0.293276,
0.570028,0.603444,-0.0211596,
0.523586,0.610639,0.207346,
0.497769,0.592973,0.402695,
0.488212,0.572075,0.553314,
0.489594,0.542864,0.698844,
0.459306,0.483741,0.859522,
0.430986,0.389422,1.00581,
0.383504,0.313719,1.10633,
0.357596,0.257554,1.16094,
0.346232,0.212303,1.20495,
0.346477,0.195002,1.25032,
0.290232,0.191617,1.28291,
0.222048,0.198169,1.28557,
0.157044,0.191795,1.28794,
0.0824138,0.155859,1.2894,
0.00884502,0.103233,1.29363,
-0.0540413,0.0492424,1.30776,
-0.0915243,0.0153612,1.30816,
-0.113392,-0.0216088,1.28452,
-0.112581,-0.0373398,1.21896,
-0.116577,-0.0739874,1.13005,
-0.112664,-0.123009,1.017,
-0.0924986,-0.16579,0.878599,
-0.0241523,-0.117966,0.699735,
0.0692901,-0.157473,0.468193,
0.1346,-0.181357,0.380562,
